"","BCAS1","HERC1","VTN","AREG","CISH","GRB14","RAP2C","INSIG2","FRAS1","SYNPO2L","MGAT5B","TMC7","MT1X","SESTD1","MT1M","RBPMS.AS1","LINC00052","LOO_ELPD","Sensitivity","Specificity","Accuracy","TP","TN","FP","FN","Current_ELPD","Acceptance"
"9166",2,11,3,6,12,9,7,8,14,NA,NA,NA,NA,NA,NA,NA,NA,-72.006985613798,0.666666666666667,0.743119266055046,0.732283464566929,12,81,28,6,-71.4184660659916,NA
"9167",7,12,11,3,8,9,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.5233140940035,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9168",2,11,3,6,12,9,7,8,17,NA,NA,NA,NA,NA,NA,NA,NA,-72.6491808582861,0.647058823529412,0.736363636363636,0.724409448818898,11,81,29,6,-71.4184660659916,NA
"9169",2,8,9,6,12,11,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9551803136489,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9170",3,11,8,6,9,7,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.7198654175655,0.625,0.72972972972973,0.716535433070866,10,81,30,6,-71.4184660659916,NA
"9171",9,8,6,7,2,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.1348800572194,0.5625,0.720720720720721,0.700787401574803,9,80,31,7,-71.4184660659916,NA
"9172",8,12,11,3,9,2,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.3437859618295,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9173",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.41497505134,0.615384615384615,0.719298245614035,0.708661417322835,8,82,32,5,-71.4184660659916,NA
"9174",12,8,3,11,2,7,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.8291975823725,0.555555555555556,0.724770642201835,0.700787401574803,10,79,30,8,-71.4184660659916,NA
"9175",3,12,2,9,8,11,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.9607609623436,0.578947368421053,0.731481481481482,0.708661417322835,11,79,29,8,-71.4184660659916,NA
"9176",9,11,7,12,2,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.1179762049188,0.529411764705882,0.718181818181818,0.692913385826772,9,79,31,8,-71.4184660659916,NA
"9177",2,11,3,6,12,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.7015423297625,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9178",11,12,8,3,9,7,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.6136293088698,0.7,0.717948717948718,0.716535433070866,7,84,33,3,-71.4184660659916,NA
"9179",2,11,3,6,12,9,7,8,13,NA,NA,NA,NA,NA,NA,NA,NA,-74.3599713978994,0.571428571428571,0.716814159292035,0.700787401574803,8,81,32,6,-71.4184660659916,NA
"9180",2,3,6,9,12,7,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.2437150028168,0.631578947368421,0.740740740740741,0.724409448818898,12,80,28,7,-71.4184660659916,NA
"9181",2,11,3,6,12,9,7,8,4,NA,NA,NA,NA,NA,NA,NA,NA,-75.0215660624644,0.769230769230769,0.736842105263158,0.740157480314961,10,84,30,3,-71.4184660659916,NA
"9182",2,11,3,6,12,9,7,8,10,NA,NA,NA,NA,NA,NA,NA,NA,-72.7280724254148,0.588235294117647,0.727272727272727,0.708661417322835,10,80,30,7,-71.4184660659916,NA
"9183",11,3,6,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.3428471607935,0.642857142857143,0.725663716814159,0.716535433070866,9,82,31,5,-71.4184660659916,NA
"9184",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.3626067054656,0.5,0.711711711711712,0.68503937007874,8,79,32,8,-71.4184660659916,NA
"9185",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1702303701094,0.55,0.728971962616822,0.700787401574803,11,78,29,9,-71.4184660659916,NA
"9186",2,11,3,6,12,9,7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,-74.3420725406487,0.6,0.723214285714286,0.708661417322835,9,81,31,6,-71.4184660659916,NA
"9187",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.104491760322,0.526315789473684,0.722222222222222,0.692913385826772,10,78,30,9,-71.4184660659916,NA
"9188",2,11,3,6,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.1468540968294,0.55,0.728971962616822,0.700787401574803,11,78,29,9,-71.4184660659916,NA
"9189",2,11,3,12,9,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8884150506399,0.611111111111111,0.73394495412844,0.716535433070866,11,80,29,7,-71.4184660659916,NA
"9190",12,7,2,9,11,6,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.6718899571463,0.666666666666667,0.754716981132076,0.740157480314961,14,80,26,7,-71.4184660659916,NA
